date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:08	3417/3417	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220000e4526db897bc51977f40647344cd%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
09:23:08	28498/28498	---M-Z	200	added ('OK')	text/html	etag:W/%22e8dae95938efebff959d3d671e15f7d4%22	https://debatecompetitivo.herokuapp.com/internoadaumverao2024/	/home/tttardigrade/websites/adaum_verao24/debatecompetitivo.herokuapp.com/internoadaumverao2024/index.html	(from )
09:23:08	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220000e4526db897bc51977f40647344cd%22	https://debatecompetitivo.herokuapp.com/internoadaumverao2024/POST	/home/tttardigrade/websites/adaum_verao24/debatecompetitivo.herokuapp.com/internoadaumverao2024/POST	(from https://debatecompetitivo.herokuapp.com/internoadaumverao2024/)
09:24:09	56417/56417	---M-Z	200	added ('OK')	text/html	etag:W/%22b818a5d40512b9719b1875faba724fb2%22	https://debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/team/	/home/tttardigrade/websites/adaum_verao24/debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/team/index.html	(from https://debatecompetitivo.herokuapp.com/internoadaumverao2024/)
09:24:10	41890/41890	---M-Z	200	added ('OK')	text/html	etag:W/%22e47cc46d2cc4fd992668d65abef7a298%22	https://debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/speaker/	/home/tttardigrade/websites/adaum_verao24/debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/internoadaumverao2024/)
09:24:10	31854/31854	---M-Z	200	added ('OK')	text/html	etag:W/%2239d4f8917cf09417ac2d08ae837f41c5%22	https://debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/speaker/avancado/	/home/tttardigrade/websites/adaum_verao24/debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/speaker/avancado/index.html	(from https://debatecompetitivo.herokuapp.com/internoadaumverao2024/)
09:24:10	31111/31111	---M-Z	200	added ('OK')	text/html	etag:W/%226e6d976b024529bb176be6fd04fa704e%22	https://debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/speaker/iniciados/	/home/tttardigrade/websites/adaum_verao24/debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/speaker/iniciados/index.html	(from https://debatecompetitivo.herokuapp.com/internoadaumverao2024/)
09:24:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2009:24:10%20GMT	https://debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/team/POST	/home/tttardigrade/websites/adaum_verao24/debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/team/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/internoadaumverao2024/tab/team/)
09:24:24	69184/69184	---M-Z	200	added ('OK')	text/html	etag:W/%22fc2b5186790c692c1612c52e621696cf%22	https://debatecompetitivo.herokuapp.com/internoadaumverao2024/motions/statistics/	/home/tttardigrade/websites/adaum_verao24/debatecompetitivo.herokuapp.com/internoadaumverao2024/motions/statistics/index.html	(from https://debatecompetitivo.herokuapp.com/internoadaumverao2024/)
09:25:11	40792/40792	---M-Z	200	added ('OK')	text/html	etag:W/%22d37f6ead793c97f4d96d9a2b32172310%22	https://debatecompetitivo.herokuapp.com/internoadaumverao2024/results/round/1/	/home/tttardigrade/websites/adaum_verao24/debatecompetitivo.herokuapp.com/internoadaumverao2024/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/internoadaumverao2024/)
