date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:26:07	3419/3419	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a76069d1cb6e39cac91747684d50d814%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
00:26:07	30257/30257	---M-Z	200	added ('OK')	text/html	etag:W/%225029b17667d89a742892720cf5b201ef%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/index.html	(from )
00:26:07	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a76069d1cb6e39cac91747684d50d814%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/POST	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/POST	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
00:27:08	87533/87533	---M-Z	200	added ('OK')	text/html	etag:W/%22ef1b310ae327bccc66104d4a2242c8dd%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/team/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/team/index.html	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
00:27:08	48635/48635	---M-Z	200	added ('OK')	text/html	etag:W/%22f8ca0ec72e325e81c0245333361ed8d2%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/team/iniciados/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/team/iniciados/index.html	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
00:27:08	60048/60048	---M-Z	200	added ('OK')	text/html	etag:W/%22890d81e49952a5b5045499cb5b470e45%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/speaker/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
00:27:08	36248/36248	---M-Z	200	added ('OK')	text/html	etag:W/%22ee37c64f8e469d0d01d926be8238d0f9%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/speaker/pro/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/speaker/pro/index.html	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
00:27:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2000:27:09%20GMT	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/team/POST	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/team/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/team/)
00:27:22	47164/47164	---M-Z	200	added ('OK')	text/html	etag:W/%22a706f2b16255e48d1f0cc32fd3714c85%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/speaker/am/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/tab/speaker/am/index.html	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
00:27:22	81546/81546	---M-Z	200	added ('OK')	text/html	etag:W/%2284a776d15a2f8b22a03fe5ec958f0da3%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/motions/statistics/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/motions/statistics/index.html	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
00:28:09	61112/61112	---M-Z	200	added ('OK')	text/html	etag:W/%22beb8d31648d38406d0fa038450422662%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/results/round/1/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
00:28:10	58912/58912	---M-Z	200	added ('OK')	text/html	etag:W/%22aee246144be533618f4f1d07fd43083f%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/results/round/2/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/results/round/2/index.html	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
00:28:10	60761/60761	---M-Z	200	added ('OK')	text/html	etag:W/%22abfce573334fc65aead3c66780df034a%22	https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/results/round/3/	/home/tttardigrade/websites/centro_sul/debatecompetitivo.herokuapp.com/open_centro_sul_2021/results/round/3/index.html	(from https://debatecompetitivo.herokuapp.com/open_centro_sul_2021/)
