date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:06	3417/3417	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223425718476744f280b781a0e68103515%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
08:49:07	35652/35652	---M-Z	200	added ('OK')	text/html	etag:W/%22e9b9f0d46be19147fe43ec4bc8cbb70e%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/index.html	(from )
08:49:07	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223425718476744f280b781a0e68103515%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/POST	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/POST	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:50:08	89298/89298	---M-Z	200	added ('OK')	text/html	etag:W/%222c66b52e1a6ef0329a497116716481e9%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:50:08	51196/51196	---M-Z	200	added ('OK')	text/html	etag:W/%22ead5b38583fa23895e1d7bc654953f39%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/Iniciado/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/Iniciado/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:50:09	52482/52482	---M-Z	200	added ('OK')	text/html	etag:W/%22ee168cd65d5cdc9214bebb34d3c38888%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:50:09	39404/39404	---M-Z	200	added ('OK')	text/html	etag:W/%22269c50ce328d0ab829ab6902b70328b9%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/Iniciado/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/Iniciado/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:50:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2008:50:09%20GMT	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/POST	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/)
08:50:22	97853/97853	---M-Z	200	added ('OK')	text/html	etag:W/%2248bd1da7533755c60e7132409c42c1c3%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/motions/statistics/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/motions/statistics/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:51:10	34295/34295	---M-Z	200	added ('OK')	text/html	etag:W/%22ba77cf60e338a551cc3dc9f86778a8d6%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/checkins/status/people/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/checkins/status/people/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:51:10	53361/53361	---M-Z	200	added ('OK')	text/html	etag:W/%22ded18816c3371b5451341681d2281e4c%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/1/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:51:10	53353/53353	---M-Z	200	added ('OK')	text/html	etag:W/%225d4522b71b6e644b548334718cd5fbc1%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/2/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/2/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:51:10	53353/53353	---M-Z	200	added ('OK')	text/html	etag:W/%228f69e3a6a8e81df0e1e396f19118249e%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/3/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/3/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:51:10	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223425718476744f280b781a0e68103515%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/Iniciado/POST	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/Iniciado/POST.2.delayed	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/team/Iniciado/)
08:52:11	53353/53353	---M-Z	200	added ('OK')	text/html	etag:W/%227a31e1a10f0828cd63372a0066b07acc%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/4/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/4/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:52:11	53353/53353	---M-Z	200	added ('OK')	text/html	etag:W/%223c4743c680ed4851fdbd852cc08504fb%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/5/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/5/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:52:11	32303/32303	---M-Z	200	added ('OK')	text/html	etag:W/%22aba768b2140ad5140fb11781119f137d%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/6/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/6/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:52:11	32121/32121	---M-Z	200	added ('OK')	text/html	etag:W/%22a447ab5554dc87e4fb8d80750b511f20%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/7/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/7/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:52:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2008:52:11%20GMT	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/POST	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/POST.3.delayed	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/)
08:53:12	34668/34668	---M-Z	200	added ('OK')	text/html	etag:W/%221b07ed4fa60e2698fdfe854adf2d7d12%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/8/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/round/8/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:53:12	45948/45948	---M-Z	200	added ('OK')	text/html	etag:W/%22cd7120a435ef0f8e31b1e7b82d9a842a%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/participants/list/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/participants/list/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:53:13	29289/29289	---M-Z	200	added ('OK')	text/html	etag:W/%22f5b19f4c61d3e6605a0a63cf3b9d909c%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/results/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:53:13	25807/25807	---M-Z	200	added ('OK')	text/html	etag:W/%222fac057f167fba4e1401b21572dc987c%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/participants/institutions/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/participants/institutions/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:53:14	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223425718476744f280b781a0e68103515%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/Iniciado/POST	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/Iniciado/POST.4.delayed	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/tab/speaker/Iniciado/)
08:53:19	39061/39061	---M-Z	200	added ('OK')	text/html	etag:W/%22de37732bb8fda8f786b008f02b9bfb2b%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/motions/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/motions/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:53:19	39437/39437	---M-Z	200	added ('OK')	text/html	etag:W/%22834cbd5a46206770739cc0ddf3bf2981%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/draw/round/1/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/draw/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:53:20	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223425718476744f280b781a0e68103515%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/motions/statistics/POST	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/motions/statistics/POST	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/motions/statistics/)
08:53:20	39435/39435	---M-Z	200	added ('OK')	text/html	etag:W/%225ace9184eb0115d90cc35ab4bc88e761%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/draw/round/3/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/draw/round/3/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:53:21	39435/39435	---M-Z	200	added ('OK')	text/html	etag:W/%22092a230b801d1ab3760eee1d026e7650%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/draw/round/2/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/draw/round/2/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
08:54:20	39435/39435	---M-Z	200	added ('OK')	text/html	etag:W/%228ba0a67a8be506ccded77918d644840c%22	https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/draw/round/4/	/home/tttardigrade/websites/coimbra22/debatecompetitivo.herokuapp.com/7_open_coimbra_2022/draw/round/4/index.html	(from https://debatecompetitivo.herokuapp.com/7_open_coimbra_2022/)
