date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:46	3419/3419	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a76069d1cb6e39cac91747684d50d814%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
00:30:46	29876/29876	---M-Z	200	added ('OK')	text/html	etag:W/%22ad6d3356ef2193b094388e5ead52b2d0%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/index.html	(from )
00:30:46	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22a76069d1cb6e39cac91747684d50d814%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/POST	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/POST	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:31:47	48238/48238	---M-Z	200	added ('OK')	text/html	etag:W/%2281dab5220f620f7964dfbce383201678%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/team/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/team/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:31:47	36132/36132	---M-Z	200	added ('OK')	text/html	etag:W/%2212b361b1ca02f7bcb7594f92b982c24c%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/speaker/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:31:48	30843/30843	---M-Z	200	added ('OK')	text/html	etag:W/%22272a961db3494229387aca0504ab8028%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/speaker/Pro/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/speaker/Pro/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:31:48	30831/30831	---M-Z	200	added ('OK')	text/html	etag:W/%22bc32dbc7c3be9d48323cf3d9f69eb458%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/speaker/Am/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/speaker/Am/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:31:49	65153/65153	---M-Z	200	added ('OK')	text/html	etag:W/%22ede2ef0ed3409261f05fcee245f9fdb2%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/motions/statistics/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/motions/statistics/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:31:49	29958/29958	---M-Z	200	added ('OK')	text/html	etag:W/%2211247f5eae6c08c6c1b298282dfd2311%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/checkins/status/people/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/checkins/status/people/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:31:49	38161/38161	---M-Z	200	added ('OK')	text/html	etag:W/%22b0e6c59972b4dc04100c4b0e6ca96f7e%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/3/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/3/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:31:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2000:31:49%20GMT	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/team/POST	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/team/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/team/)
00:32:49	38161/38161	---M-Z	200	added ('OK')	text/html	etag:W/%221fdb62fa06d040370319e21b5fd347fe%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/2/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/2/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:32:50	37085/37085	---M-Z	200	added ('OK')	text/html	etag:W/%225074a251252115a0e4eda234cab06335%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/1/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:32:50	33473/33473	---M-Z	200	added ('OK')	text/html	etag:W/%226bcc0f30147edfad961aa3710524f379%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/5/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/5/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:32:50	38161/38161	---M-Z	200	added ('OK')	text/html	etag:W/%227a815aa757ca130190c4c8f08940fc72%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/4/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/results/round/4/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:32:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2000:32:50%20GMT	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/speaker/POST	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/speaker/POST.2.delayed	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/tab/speaker/)
00:33:03	33216/33216	---M-Z	200	added ('OK')	text/html	etag:W/%227a3805b2f5e661478a65fe0fd24a366a%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/participants/list/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/participants/list/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:33:51	27193/27193	---M-Z	200	added ('OK')	text/html	etag:W/%22e252a8c79c3db82acbb5ae00b8f852d7%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/results/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/results/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:33:51	25898/25898	---M-Z	200	added ('OK')	text/html	etag:W/%22e67550cd78be29022289a32a544b4e41%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/donations/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/donations/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
00:33:51	29081/29081	---M-Z	200	added ('OK')	text/html	etag:W/%22c543a9ebeff29e71e5c59bfbb393db5f%22	https://debatecompetitivo.herokuapp.com/interno_adaum_2021/motions/	/home/tttardigrade/websites/interno_adaum_21/debatecompetitivo.herokuapp.com/interno_adaum_2021/motions/index.html	(from https://debatecompetitivo.herokuapp.com/interno_adaum_2021/)
