date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:35	3416/3416	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%224f1d5648c6c2fd8ffd29be8ffd0b48a0%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
00:37:35	29972/29972	---M-Z	200	added ('OK')	text/html	etag:W/%22bb5602ab42f9ca445bc0182604f5322b%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/index.html	(from )
00:37:35	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%224f1d5648c6c2fd8ffd29be8ffd0b48a0%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/POST	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/POST	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:38:36	87138/87138	---M-Z	200	added ('OK')	text/html	etag:W/%220960315b7ae18526031b92f0cc303e29%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/tab/team/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/tab/team/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:38:36	54987/54987	---M-Z	200	added ('OK')	text/html	etag:W/%2224d8cc1ac573712e0debe3655ddb7653%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/tab/speaker/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:38:36	88040/88040	---M-Z	200	added ('OK')	text/html	etag:W/%22f0d050134bc4602df896ebbd32948666%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/motions/statistics/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/motions/statistics/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:38:36	52587/52587	---M-Z	200	added ('OK')	text/html	etag:W/%22d8b603152ff7e603b748dd4f95fc9ca6%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/results/round/1/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:38:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2000:38:37%20GMT	https://debatecompetitivo.herokuapp.com/open_minho_2022/tab/team/POST	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/tab/team/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/tab/team/)
00:38:50	54627/54627	---M-Z	200	added ('OK')	text/html	etag:W/%2246e0a9e57df024ef5f1ebc43e2fa7191%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/results/round/2/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/results/round/2/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:38:50	54627/54627	---M-Z	200	added ('OK')	text/html	etag:W/%22294e35445bdb776b1712c9ac3b924389%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/results/round/3/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/results/round/3/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:39:37	53611/53611	---M-Z	200	added ('OK')	text/html	etag:W/%2273c2c573d974a27c7f59c2703a4ba499%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/results/round/4/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/results/round/4/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:39:38	52551/52551	---M-Z	200	added ('OK')	text/html	etag:W/%22953374ada62196d01f7e940172fa930e%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/results/round/5/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/results/round/5/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:39:38	38290/38290	---M-Z	200	added ('OK')	text/html	etag:W/%22cdd24f45c97c0c70293c49f4862e4cbc%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/results/round/6/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/results/round/6/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
00:39:38	30689/30689	---M-Z	200	added ('OK')	text/html	etag:W/%2207dae3d21dd7651126634cc1f44ac466%22	https://debatecompetitivo.herokuapp.com/open_minho_2022/results/round/7/	/home/tttardigrade/websites/minho22/debatecompetitivo.herokuapp.com/open_minho_2022/results/round/7/index.html	(from https://debatecompetitivo.herokuapp.com/open_minho_2022/)
