date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:17	3417/3417	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220000e4526db897bc51977f40647344cd%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
09:21:17	29596/29596	---M-Z	200	added ('OK')	text/html	etag:W/%22fc4ad2d28e131da3d26c3190ff5f4907%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/index.html	(from )
09:21:17	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220000e4526db897bc51977f40647344cd%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/POST	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/POST	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
09:21:20	40045/40045	---M-Z	200	added ('OK')	text/html	etag:W/%2209485bf69038979dd689df9bc8b13bdf%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/speaker/Iniciado/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/speaker/Iniciado/index.html	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
09:22:19	59675/59675	---M-Z	200	added ('OK')	text/html	etag:W/%22e16cfb872070f790d2a29b3e95febafc%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/team/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/team/index.html	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
09:22:19	47593/47593	---M-Z	200	added ('OK')	text/html	etag:W/%220a439633cdf66fe5262a35f99652be2e%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/speaker/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
09:22:19	31925/31925	---M-Z	200	added ('OK')	text/html	etag:W/%2250fa32f472844045590f8c375d3accb6%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/speaker/Avancado/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/speaker/Avancado/index.html	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
09:22:19	70084/70084	---M-Z	200	added ('OK')	text/html	etag:W/%223e34c3e930cde609e489c6ee87f5777c%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/motions/statistics/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/motions/statistics/index.html	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
09:22:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2009:22:19%20GMT	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/team/POST	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/team/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/tab/team/)
09:23:58	45667/45667	---M-Z	200	added ('OK')	text/html	etag:W/%22d9b6ff0be8a35c233441ed781f04431d%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/results/round/1/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
09:23:58	45667/45667	---M-Z	200	added ('OK')	text/html	etag:W/%222756a1a77698234cb521cb9f9efb9627%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/results/round/2/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/results/round/2/index.html	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
09:23:59	46759/46759	---M-Z	200	added ('OK')	text/html	etag:W/%2279036d06a2c47d796cca392dd166fb0b%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/results/round/3/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/results/round/3/index.html	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
09:23:59	46759/46759	---M-Z	200	added ('OK')	text/html	etag:W/%227b8e0bf6d8a895dbadc31ceff1f21f2a%22	https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/results/round/4/	/home/tttardigrade/websites/regional24/debatecompetitivo.herokuapp.com/regional_lisboa_2024/results/round/4/index.html	(from https://debatecompetitivo.herokuapp.com/regional_lisboa_2024/)
