date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:25	3416/3416	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%224f1d5648c6c2fd8ffd29be8ffd0b48a0%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
00:36:25	32306/32306	---M-Z	200	added ('OK')	text/html	etag:W/%22fd423499fc1f58fe794a6e93b380451e%22	https://debatecompetitivo.herokuapp.com/tornadu_2022/	/home/tttardigrade/websites/tornadu22/debatecompetitivo.herokuapp.com/tornadu_2022/index.html	(from )
00:36:25	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%224f1d5648c6c2fd8ffd29be8ffd0b48a0%22	https://debatecompetitivo.herokuapp.com/tornadu_2022/POST	/home/tttardigrade/websites/tornadu22/debatecompetitivo.herokuapp.com/tornadu_2022/POST	(from https://debatecompetitivo.herokuapp.com/tornadu_2022/)
00:37:26	75933/75933	---M-Z	200	added ('OK')	text/html	etag:W/%229050eb280525df2a9360ea0bb4d5b72d%22	https://debatecompetitivo.herokuapp.com/tornadu_2022/tab/team/INICIADOS/	/home/tttardigrade/websites/tornadu22/debatecompetitivo.herokuapp.com/tornadu_2022/tab/team/INICIADOS/index.html	(from https://debatecompetitivo.herokuapp.com/tornadu_2022/)
00:37:26	120813/120813	---M-Z	200	added ('OK')	text/html	etag:W/%22c60e4a18e88f0165d698065ca9f350a5%22	https://debatecompetitivo.herokuapp.com/tornadu_2022/tab/team/	/home/tttardigrade/websites/tornadu22/debatecompetitivo.herokuapp.com/tornadu_2022/tab/team/index.html	(from https://debatecompetitivo.herokuapp.com/tornadu_2022/)
00:37:27	81023/81023	---M-Z	200	added ('OK')	text/html	etag:W/%22f4417f076d73aa0ad1bbe4c7b7c01813%22	https://debatecompetitivo.herokuapp.com/tornadu_2022/tab/speaker/	/home/tttardigrade/websites/tornadu22/debatecompetitivo.herokuapp.com/tornadu_2022/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/tornadu_2022/)
00:37:27	59415/59415	---M-Z	200	added ('OK')	text/html	etag:W/%22a3328f35c75e070479e3d6af0ffdd105%22	https://debatecompetitivo.herokuapp.com/tornadu_2022/tab/speaker/INC/	/home/tttardigrade/websites/tornadu22/debatecompetitivo.herokuapp.com/tornadu_2022/tab/speaker/INC/index.html	(from https://debatecompetitivo.herokuapp.com/tornadu_2022/)
00:37:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2000:37:27%20GMT	https://debatecompetitivo.herokuapp.com/tornadu_2022/tab/team/POST	/home/tttardigrade/websites/tornadu22/debatecompetitivo.herokuapp.com/tornadu_2022/tab/team/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/tornadu_2022/tab/team/)
00:38:20	45619/45619	---M-Z	200	added ('OK')	text/html	etag:W/%2236e50cacaff4421c80a6112a805820f7%22	https://debatecompetitivo.herokuapp.com/tornadu_2022/tab/speaker/PRO/	/home/tttardigrade/websites/tornadu22/debatecompetitivo.herokuapp.com/tornadu_2022/tab/speaker/PRO/index.html	(from https://debatecompetitivo.herokuapp.com/tornadu_2022/)
00:38:28	55641/55641	---M-Z	200	added ('OK')	text/html	etag:W/%220d85626cf2a89991daa3cff51b571222%22	https://debatecompetitivo.herokuapp.com/tornadu_2022/tab/adjudicators/	/home/tttardigrade/websites/tornadu22/debatecompetitivo.herokuapp.com/tornadu_2022/tab/adjudicators/index.html	(from https://debatecompetitivo.herokuapp.com/tornadu_2022/)
