date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:11	3420/3420	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2295c897f812afe4eedb3ca2af72fb4c20%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
09:13:11	28978/28978	---M-Z	200	added ('OK')	text/html	etag:W/%22bf630b94f15358d4adcaa2def6dba6c1%22	https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/	/home/tttardigrade/websites/verao23/debatecompetitivo.herokuapp.com/open_verao_porto_2023/index.html	(from )
09:13:11	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2295c897f812afe4eedb3ca2af72fb4c20%22	https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/POST	/home/tttardigrade/websites/verao23/debatecompetitivo.herokuapp.com/open_verao_porto_2023/POST	(from https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/)
09:14:17	41614/41614	---M-Z	200	added ('OK')	text/html	etag:W/%22938e7ef38efbdf9f8e694a89b24fb5d5%22	https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/tab/speaker/	/home/tttardigrade/websites/verao23/debatecompetitivo.herokuapp.com/open_verao_porto_2023/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/)
09:14:18	80364/80364	---M-Z	200	added ('OK')	text/html	etag:W/%22b5ffcbff3d1f25bba522c1289d04535a%22	https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/motions/statistics/	/home/tttardigrade/websites/verao23/debatecompetitivo.herokuapp.com/open_verao_porto_2023/motions/statistics/index.html	(from https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/)
09:14:19	43541/43541	---M-Z	200	added ('OK')	text/html	etag:W/%22ec755240ea409e28b63d7ff6bb436a4d%22	https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/results/round/1/	/home/tttardigrade/websites/verao23/debatecompetitivo.herokuapp.com/open_verao_porto_2023/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/)
09:14:19	44557/44557	---M-Z	200	added ('OK')	text/html	etag:W/%22f521cbc8fe24088b229ace5fb41692d7%22	https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/results/round/2/	/home/tttardigrade/websites/verao23/debatecompetitivo.herokuapp.com/open_verao_porto_2023/results/round/2/index.html	(from https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/)
09:14:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2009:14:19%20GMT	https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/tab/speaker/POST	/home/tttardigrade/websites/verao23/debatecompetitivo.herokuapp.com/open_verao_porto_2023/tab/speaker/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/tab/speaker/)
09:14:31	44557/44557	---M-Z	200	added ('OK')	text/html	etag:W/%22d200a23ed714d2523abdc7e305b8d3b6%22	https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/results/round/3/	/home/tttardigrade/websites/verao23/debatecompetitivo.herokuapp.com/open_verao_porto_2023/results/round/3/index.html	(from https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/)
09:15:21	45585/45585	---M-Z	200	added ('OK')	text/html	etag:W/%22a0e9d7ffd4b02ddb9159ccfac7649180%22	https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/results/round/5/	/home/tttardigrade/websites/verao23/debatecompetitivo.herokuapp.com/open_verao_porto_2023/results/round/5/index.html	(from https://debatecompetitivo.herokuapp.com/open_verao_porto_2023/)
