date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:01	3417/3417	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223425718476744f280b781a0e68103515%22	https://debatecompetitivo.herokuapp.com/robots.txt		(from )
08:50:01	26853/26853	---M-Z	200	added ('OK')	text/html	etag:W/%22bbd851882f2c9b4d90aa95874e665827%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/index.html	(from )
08:50:01	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223425718476744f280b781a0e68103515%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/POST	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/POST	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:51:02	36524/36524	---M-Z	200	added ('OK')	text/html	etag:W/%221e294d09d63b08af7463a7a17f7dfff9%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/speaker/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/speaker/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:51:02	35190/35190	---M-Z	200	added ('OK')	text/html	etag:W/%22217570890a9346fe696bbb8094e0b44c%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/1/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/1/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:51:02	35190/35190	---M-Z	200	added ('OK')	text/html	etag:W/%22ccd9886d710af3f7ecd9265b3d6d82ae%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/2/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/2/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:51:02	36678/36678	---M-Z	200	added ('OK')	text/html	etag:W/%220269c9d9863842aa2ad12c7588d43048%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/3/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/3/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:51:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Feb%202025%2008:51:03%20GMT	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/speaker/POST	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/speaker/POST.1.delayed	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/speaker/)
08:51:14	36678/36678	---M-Z	200	added ('OK')	text/html	etag:W/%2275c3c427b74c6d8927b3e8a9b96a7c92%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/4/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/4/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:51:14	32440/32440	---M-Z	200	added ('OK')	text/html	etag:W/%227b6d9d908207ce23aaed78212335c999%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/5/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/5/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:52:04	27300/27300	---M-Z	200	added ('OK')	text/html	etag:W/%2272d7753acc572a586124ab71fe6de105%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/motions/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/motions/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:52:04	39496/39496	---M-Z	200	added ('OK')	text/html	etag:W/%22dc2936d3f0051b7fbdccae9dc5dad7c5%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/current-standings/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/current-standings/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:52:04	25407/25407	---M-Z	200	added ('OK')	text/html	etag:W/%221024b244b407d780f6438f7a5a9e66e0%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/donations/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/donations/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:52:04	26722/26722	---M-Z	200	added ('OK')	text/html	etag:W/%2208a5418ae6052bd86e91af0be630769a%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/)
08:52:04	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223425718476744f280b781a0e68103515%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/1/POST	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/1/POST.2.delayed	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/1/)
08:52:06	24301/24301	---M-Z	403	error ('Forbidden')	text/html	etag:W/%22a0d1200479018722fb1ec5c5443a1c9d%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/speaker/POST/	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/speaker/POST/index.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/tab/speaker/)
08:52:07	9998/9998	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%223425718476744f280b781a0e68103515%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/2/POST	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/2/POST.3.delayed	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/2/)
08:52:21	35190/35190	---M-Z	200	added ('OK')	text/html	etag:W/%22217570890a9346fe696bbb8094e0b44c%22	https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/1/?view=team	/home/tttardigrade/websites/verao_adaum22/debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/1/index95e1.html	(from https://debatecompetitivo.herokuapp.com/interno_verao_adaum_2022/results/round/1/)
